Bank,Annual_Return,Annual_Volatility,Sharpe_Ratio
SBI,0.25086597261870774,0.2520680925934946,0.7968718712155309
HDFC,-0.043822961080087104,0.3080054021734604,-0.30461466071055643
ICICI,0.18104120824117598,0.21105642761435206,0.6208823380665667
