Bank,MSE,MAE,RMSE,MAPE (%)
SBI,1960.4823882423027,30.17610632961536,44.27733492705159,3.2276431331726703
HDFC,17914.89551188384,84.41903061464609,133.8465371680711,6.626574289761206
ICICI,1100.1631896814931,26.019664693931976,33.16870798933074,1.861039349845428
