DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
15-Sep-2021,EQ,707.10,716.00,706.30,707.45,713.00,714.35,710.85,734.80,333.75,5936741,"4,22,01,57,103.35",128714
14-Sep-2021,EQ,713.25,714.00,706.50,707.40,707.95,707.45,709.65,734.80,333.75,5241865,"3,71,98,74,440.35",109788
13-Sep-2021,EQ,717.90,717.90,705.20,720.25,707.50,707.40,708.93,734.80,333.75,6967906,"4,93,97,47,736.50",156480
09-Sep-2021,EQ,720.80,723.90,717.60,720.95,720.00,720.25,720.38,734.80,333.75,6243422,"4,49,76,11,305.45",137588
08-Sep-2021,EQ,716.50,722.75,715.00,716.90,721.40,720.95,719.57,734.80,333.75,7118011,"5,12,19,12,402.15",141683
07-Sep-2021,EQ,720.90,722.45,711.65,721.15,716.05,716.90,717.35,734.80,333.75,6242711,"4,47,82,36,355.90",128329
06-Sep-2021,EQ,725.40,728.00,720.00,724.30,720.25,721.15,722.19,734.80,333.75,5329995,"3,84,92,82,801.40",94468
03-Sep-2021,EQ,724.75,731.80,721.10,725.15,724.25,724.30,724.94,734.80,333.75,8993813,"6,51,99,53,139.60",130793
02-Sep-2021,EQ,722.30,728.05,717.50,719.90,726.70,725.15,724.39,734.80,333.75,8627956,"6,25,00,06,090.55",133288
01-Sep-2021,EQ,727.60,734.80,717.20,719.05,718.30,719.90,725.79,734.80,333.75,13729351,"9,96,46,51,210.70",189403
31-Aug-2021,EQ,714.00,719.90,709.35,713.65,718.00,719.05,717.35,719.90,333.75,19760246,"14,17,49,78,042.35",171103
30-Aug-2021,EQ,704.50,715.00,700.90,699.75,714.00,713.65,709.09,717.40,333.75,10797869,"7,65,66,20,777.30",150253
27-Aug-2021,EQ,696.10,700.45,689.05,698.80,699.30,699.75,694.92,717.40,333.75,9135827,"6,34,87,10,468.20",110643
26-Aug-2021,EQ,692.05,701.55,690.00,691.05,697.35,698.80,696.51,717.40,333.75,10756731,"7,49,22,13,569.05",172604
25-Aug-2021,EQ,699.95,700.45,687.15,694.45,689.70,691.05,693.09,717.40,333.75,9535359,"6,60,88,47,641.50",181723
24-Aug-2021,EQ,683.25,697.25,680.40,682.70,693.45,694.45,690.12,717.40,333.75,9821388,"6,77,78,96,409.70",172848
