DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
18-Feb-2022,EQ,510.10,520.90,510.10,512.95,515.00,515.30,515.84,549.00,321.30,15111223,"7,79,49,91,046.45",167187
16-Feb-2024,EQ,763.45,774.60,753.35,761.70,757.35,754.70,763.14,774.60,501.55,27365121,"20,88,33,78,535.90",519358
15-Feb-2024,EQ,747.70,764.00,741.65,743.40,760.40,761.70,754.14,764.00,501.55,33941282,"25,59,65,07,159.35",863114
14-Feb-2024,EQ,705.55,748.50,705.55,713.45,743.00,743.40,730.54,748.50,501.55,36782182,"26,87,09,28,805.05",493455
13-Feb-2024,EQ,708.55,718.00,702.15,707.90,711.35,713.45,711.68,728.35,501.55,23351472,"16,61,86,87,259.40",364739
12-Feb-2024,EQ,726.00,726.00,704.50,725.25,707.00,707.90,713.27,728.35,501.55,22873137,"16,31,48,27,822.60",573623
09-Feb-2024,EQ,703.65,728.35,694.20,699.55,725.45,725.25,711.47,728.35,501.55,43235061,"30,76,02,44,551.05",757763
08-Feb-2024,EQ,680.40,718.90,678.50,675.25,699.80,699.55,700.87,718.90,501.55,74222434,"52,02,06,33,464.10",978644
07-Feb-2024,EQ,655.05,677.95,655.00,650.25,677.50,675.25,669.94,677.95,501.55,41696232,"27,93,40,60,703.15",797692
06-Feb-2024,EQ,644.45,655.00,637.70,642.95,654.80,650.25,644.26,660.55,501.55,14079390,"9,07,07,37,392.70",230842
05-Feb-2024,EQ,647.10,654.80,638.75,649.65,643.00,642.95,646.89,660.55,501.55,28339525,"18,33,25,81,475.65",348687
02-Feb-2024,EQ,652.00,660.55,646.70,647.65,648.00,649.65,653.81,660.55,499.35,27471811,"17,96,12,31,828.75",362306
01-Feb-2024,EQ,642.75,652.95,633.25,640.50,648.50,647.65,644.85,660.40,499.35,26587707,"17,14,50,97,528.60",341287
31-Jan-2024,EQ,626.40,643.20,622.00,626.75,641.55,640.50,634.65,660.40,499.35,23270745,"14,76,87,84,599.55",331696
30-Jan-2024,EQ,625.45,633.50,624.20,622.95,625.50,626.75,628.36,660.40,499.35,16966577,"10,66,11,20,748.15",340803
29-Jan-2024,EQ,619.00,629.50,615.60,612.75,624.20,622.95,622.28,660.40,499.35,19572140,"12,17,92,66,716.90",375931
25-Jan-2024,EQ,618.50,623.80,606.25,618.30,615.00,612.75,612.47,660.40,499.35,22684904,"13,89,39,36,068.05",295756
24-Jan-2024,EQ,609.95,622.35,603.10,605.10,618.00,618.30,615.78,660.40,499.35,19221835,"11,83,64,60,488.35",274606
23-Jan-2024,EQ,627.00,634.90,600.65,631.40,606.00,605.10,613.88,660.40,499.35,30954343,"19,00,24,05,937.25",409569
20-Jan-2024,EQ,629.00,633.80,624.10,627.75,631.00,631.40,628.99,660.40,499.35,9886760,"6,21,87,02,860.50",133765
19-Jan-2024,EQ,633.00,635.50,624.70,628.30,628.70,627.75,629.47,660.40,499.35,11675202,"7,34,91,40,974.30",208754
18-Jan-2024,EQ,625.80,633.45,619.05,626.00,628.50,628.30,627.46,660.40,499.35,14695436,"9,22,07,94,332.40",239183
17-Jan-2024,EQ,624.00,636.80,623.00,636.90,626.45,626.00,628.60,660.40,499.35,30016308,"18,86,83,96,654.85",428458
16-Jan-2024,EQ,640.00,644.90,633.45,640.10,637.55,636.90,639.72,660.40,499.35,15025543,"9,61,21,87,789.45",253396
15-Jan-2024,EQ,638.90,645.50,636.10,633.60,640.80,640.10,640.23,660.40,499.35,16844018,"10,78,40,99,571.95",300031
12-Jan-2024,EQ,623.80,636.50,621.10,620.20,635.25,633.60,630.54,660.40,499.35,16620797,"10,48,01,04,627.65",302558
11-Jan-2024,EQ,626.00,627.15,618.50,621.75,621.25,620.20,621.85,660.40,499.35,15533860,"9,65,97,92,551.10",284550
10-Jan-2024,EQ,624.80,625.30,618.20,625.40,622.00,621.75,622.15,660.40,499.35,12742464,"7,92,76,74,893.10",213657
09-Jan-2024,EQ,632.00,634.35,624.50,627.00,625.95,625.40,629.70,660.40,499.35,13400235,"8,43,80,88,899.05",236123
08-Jan-2024,EQ,640.00,645.00,625.05,641.95,627.90,627.00,633.49,660.40,499.35,14739531,"9,33,73,25,175.95",336839
05-Jan-2024,EQ,645.00,651.75,637.75,642.75,641.45,641.95,645.02,660.40,499.35,15984585,"10,31,04,53,920.00",272662
04-Jan-2024,EQ,642.50,646.40,638.65,643.45,643.60,642.75,642.95,660.40,499.35,13883388,"8,92,63,55,539.75",271568
03-Jan-2024,EQ,639.35,648.00,635.80,639.45,644.50,643.45,643.21,660.40,499.35,14571772,"9,37,27,32,858.90",252225
02-Jan-2024,EQ,641.35,648.00,633.85,641.35,639.20,639.45,640.47,660.40,499.35,15164482,"9,71,23,46,967.95",249803
01-Jan-2024,EQ,642.20,646.90,638.00,642.05,638.10,641.35,643.93,660.40,499.35,8295548,"5,34,17,16,373.30",257804
29-Dec-2023,EQ,645.50,649.60,639.55,651.40,641.70,642.05,642.49,660.40,499.35,13221898,"8,49,49,32,618.15",332467
28-Dec-2023,EQ,650.25,653.30,646.50,648.55,649.30,651.40,650.46,660.40,499.35,16982092,"11,04,61,12,701.50",301058
27-Dec-2023,EQ,640.75,649.45,639.00,638.05,648.65,648.55,645.18,660.40,499.35,14417646,"9,30,19,72,173.20",295473
26-Dec-2023,EQ,638.85,641.30,635.65,636.75,638.50,638.05,639.19,660.40,499.35,10153089,"6,48,97,68,989.95",298625
22-Dec-2023,EQ,644.75,649.40,635.15,643.75,637.20,636.75,642.31,660.40,499.35,14998068,"9,63,33,65,890.05",307210
21-Dec-2023,EQ,632.15,648.95,627.50,636.45,644.00,643.75,639.02,660.40,499.35,19915516,"12,72,64,51,072.85",347188
20-Dec-2023,EQ,658.70,660.40,633.95,655.40,634.55,636.45,647.91,660.40,499.35,22542056,"14,60,51,96,613.65",419233
19-Dec-2023,EQ,648.50,659.60,640.25,648.50,656.00,655.40,652.88,659.60,499.35,19964008,"13,03,41,25,974.85",384049
18-Dec-2023,EQ,646.65,655.65,642.40,648.25,647.60,648.50,650.04,655.65,499.35,16221796,"10,54,48,32,650.95",347590
15-Dec-2023,EQ,628.00,650.00,619.85,623.65,648.30,648.25,638.08,650.00,499.35,29813572,"19,02,34,30,389.90",433979
14-Dec-2023,EQ,626.00,627.75,622.40,619.85,623.65,623.65,624.37,629.55,499.35,15813797,"9,87,36,63,687.10",336921
13-Dec-2023,EQ,614.45,620.50,611.65,612.40,619.00,619.85,616.90,629.55,499.35,13977914,"8,62,29,77,354.10",279821
12-Dec-2023,EQ,617.00,617.95,610.80,614.25,612.05,612.40,613.75,629.55,499.35,14494836,"8,89,61,94,867.15",282774
11-Dec-2023,EQ,615.00,619.90,613.10,614.15,614.20,614.25,615.99,629.55,499.35,11706255,"7,21,08,78,840.80",285158
08-Dec-2023,EQ,610.00,616.80,605.35,611.70,614.50,614.15,610.67,629.55,499.35,17722136,"10,82,23,16,306.20",294891
07-Dec-2023,EQ,610.00,612.55,605.00,608.45,611.50,611.70,609.73,629.55,499.35,10725706,"6,53,97,46,289.50",248309
06-Dec-2023,EQ,614.00,614.00,604.55,608.25,607.70,608.45,609.96,629.55,499.35,21439069,"13,07,69,49,822.20",273409
05-Dec-2023,EQ,595.05,611.30,595.05,594.70,608.25,608.25,606.37,629.55,499.35,36430152,"22,09,01,96,336.45",432396
04-Dec-2023,EQ,588.00,596.00,584.55,571.75,595.90,594.70,590.28,629.55,499.35,26077882,"15,39,31,75,008.05",386859
01-Dec-2023,EQ,567.00,574.20,566.55,564.75,571.85,571.75,571.83,629.55,499.35,10614230,"6,06,95,42,121.05",189868
30-Nov-2023,EQ,569.75,570.20,563.65,568.60,565.15,564.75,566.22,629.55,499.35,19758998,"11,18,79,29,536.50",314822
29-Nov-2023,EQ,568.00,569.00,565.10,564.45,568.35,568.60,567.58,629.55,499.35,10299034,"5,84,55,06,569.15",206929
28-Nov-2023,EQ,563.60,565.20,561.10,560.35,564.80,564.45,563.42,629.55,499.35,8153314,"4,59,37,27,819.70",186090
24-Nov-2023,EQ,561.95,562.45,559.25,559.95,560.70,560.35,560.63,629.55,499.35,6529851,"3,66,08,04,948.55",155259
23-Nov-2023,EQ,561.75,563.50,558.30,558.95,560.50,559.95,560.72,629.55,499.35,6376210,"3,57,52,82,774.35",198344
22-Nov-2023,EQ,562.95,564.50,555.15,561.50,559.50,558.95,559.00,629.55,499.35,14909071,"8,33,42,45,035.50",247815
21-Nov-2023,EQ,566.00,566.65,561.00,563.75,561.40,561.50,563.11,629.55,499.35,14280013,"8,04,12,32,058.75",223495
20-Nov-2023,EQ,564.00,566.80,560.60,563.05,563.50,563.75,564.68,629.55,499.35,12714585,"7,17,96,13,743.45",264832
17-Nov-2023,EQ,574.50,574.50,562.10,584.65,562.90,563.05,566.16,629.55,499.35,37173221,"21,04,59,79,976.30",682644
16-Nov-2023,EQ,584.70,588.00,582.90,584.70,584.10,584.65,585.40,629.55,499.35,8622660,"5,04,76,71,165.75",179964
15-Nov-2023,EQ,587.25,588.00,582.60,581.35,584.00,584.70,584.93,629.55,499.35,11397676,"6,66,68,56,921.25",221182
13-Nov-2023,EQ,581.00,582.50,575.20,581.30,581.30,581.35,578.71,629.55,499.35,11282362,"6,52,91,78,380.05",177978
12-Nov-2023,EQ,584.75,584.75,580.10,579.50,580.85,581.30,581.85,629.55,499.35,1947722,"1,13,32,73,076.55",53935
